pT	OO_PGCM	OO_PGCM_unc	NeNe_PGCM	NeNe_PGCM_unc	OO_NLEFT	OO_NLEFT_unc	NeNe_NLEFT	NeNe_NLEFT_unc	XeXe	XeXe_unc	PbPb	PbPb_unc
98.	0.9986434727308551	0.008947764283330495	0.9929494184539905	0.010769862185978085	0.9981876880962419	0.009069883528437794	0.9957762914134676	0.010081408069912257	0.8315134471349449	0.04426760129275009	0.7665272550026079	0.05315168649992236
99.	0.9986490673167927	0.00887705618518525	0.9929994304492749	0.010685937131905077	0.9981969592028603	0.008998251954866199	0.9958042113285774	0.010002340691361855	0.8326141640458452	0.044031351271409724	0.7679499274124465	0.05291180109186777
100.	0.9986473459956894	0.008808022534593785	0.9930405987684147	0.01060396560324578	0.9981988123029092	0.008928315724893388	0.995823864740968	0.009925126624526714	0.8336813650376513	0.04379842811292628	0.7693339517114162	0.05267433176538222
101.	0.9986383087675451	0.008740663331556264	0.99307292341141	0.010523947599999917	0.9981932473963885	0.00886007483851936	0.9958352516506394	0.009849765869406668	0.8347150501103631	0.043568831817299924	0.770679327899517	0.05243927852046554
102.	0.9986219556323599	0.008674978576072467	0.9930964043782605	0.010445883122167543	0.9981802644832981	0.008793529295744063	0.9958383720575915	0.009776258426001994	0.8357152192639805	0.04334256238453066	0.7719860559767487	0.05220664135711789
103.	0.9985982865901337	0.008610968268142616	0.9931110416689667	0.010369772169748659	0.9981598635636383	0.008728679096567493	0.9958332259618246	0.009704604294312413	0.8366818724985037	0.04311961981461837	0.7732541359431118	0.051976420275339164
104.	0.9985673016408665	0.008548632407766599	0.9931168352835282	0.01029561474274343	0.9981320446374088	0.00866552424098982	0.9958198133633382	0.009634803474338094	0.8376150098139327	0.04290000410756317	0.7744835677986057	0.05174861527512936
105.	0.9985290007845584	0.008487970994944416	0.9931137852219452	0.010223410841151637	0.9980968077046097	0.008604064729010763	0.9957981342621328	0.009566855966078924	0.8385146312102673	0.04268371526336495	0.7756743515432308	0.05152322635648854
106.	0.9984833840212094	0.008428984029676068	0.9931018914842176	0.010153160464973388	0.9980541527652411	0.008544300560630602	0.9957681886582082	0.009500761769535071	0.8393807366875076	0.042470753282023765	0.776826487176987	0.05130025351941658
107.	0.9984304513508194	0.008371671511961665	0.9930811540703454	0.010084863614208628	0.9980040798193031	0.00848623173584917	0.9957299765515643	0.009436520884706368	0.8402133262456536	0.04226111816353967	0.7779399746998743	0.05107969676391372
